category,title,location,regular_price,discount_price,disc_amt,summary,link
hair,Empire Body Waxing,"4700 South 900 East, Millcreek",60.0,36.0,60,One Brazilian Waxing Session,https://www.groupon.com/deals/empire-body-waxing-2?deal_option=28df47b5-6786-42d2-a124-1805b95a1b2c
makeup,Everlasting ink & Skincare LLC,"3714 west Azara lane, south jordan",300.0,117.0,39,Permanent Thin and Natural Eyeliner for Top or Bottom Eyelid,https://www.groupon.com/deals/everlasting-ink-llc-3?deal_option=c5277b10-e634-4061-90a4-66db973a0a79
hair,Feeling Grounded,"880 East 9400 South, Sandy",50.0,25.0,50,One Women's Brazilian Wax,https://www.groupon.com/deals/feeling-grounded-12?deal_option=a7b939ee-8cbf-4467-af31-4537618057ab
hair,Feeling Grounded,"880 East 9400 South, Sandy",50.0,26.0,52,One Brazilian Waxing Session,https://www.groupon.com/deals/feeling-grounded-13?deal_option=6b7fdc94-0bf1-4069-87a5-acfc7a304a70
medical,Fetal Studio,"10450 South State Street, Sandy",50.0,25.0,50,Pregnancy Verification Package,https://www.groupon.com/deals/fetal-studio-1
dental,Forever By Ash,"7689 Jordan Landing Boulevard, West Jordan",150.0,75.0,50,Teeth Whitening - In-Office - No,https://www.groupon.com/deals/foreverbyash-1-6
spas,Forever By Ash,"7689 Jordan Landing Boulevard, West Jordan",150.0,75.0,50,Teeth Whitening - In-Office - No,https://www.groupon.com/deals/foreverbyash-1-6
fitness,FreedOM Hot Yoga,"1028 West 950 North, Orem",79.0,35.0,44,One Month Unlimited Class Pass,https://www.groupon.com/deals/freedom-hot-yoga?deal_option=4b784594-15cd-4045-bb34-2037609c54b5
medical,Freedom Clinic of Chiropractic (Dr. J. Scranton),"4775 West Daybreak Parkway, South Jordan",325.0,40.0,12,Chiropractic Services,https://www.groupon.com/deals/dr-j-scranton-chiropractor
fun,Grand Teton Distillery,"1755 Idaho 33, Driggs",51.0,33.0,64,Tour for Two with Two Take Home Whiskey Glasses and One Jar of Drunk Cherries,https://www.groupon.com/deals/grand-teton-distillery-1?deal_option=5df43867-3260-419d-b643-6b17cf2d8fd6
fun,Hammer Spring Distillery,"3697 West 1987 South, Salt Lake City",19.0,10.0,52,"Tour, Shot Glass, Sticker, and Coaster for One",https://www.groupon.com/deals/hammer-spring-distillers?deal_option=be53bfb0-71ac-4d67-bfcd-0f0291305669
tickets,High Roller at the LINQ,"High Roller, Las Vegas",17.25,10.25,59,High Roller LINQ Las Vegas,https://www.groupon.com/deals/gl-high-roller-at-the-linq-attraction-1
nightlife,Hip Hop Concerts in Salt Lake City,"Hangar House, Salt Lake City",33.93,10.0,29,Hip Hop Concerts- Salt Lake City,https://www.groupon.com/deals/gl-hip-hop-concerts-salt-lake-city
spas,Holistic Bodyworks,"835 East 4800 South, Murray",68.0,59.0,86,One 60-Minute Swedish Massage (Returning Customers),https://www.groupon.com/deals/holistic-bodyworks-5?deal_option=14fb4161-a086-4bf4-89c7-8f038ba5f0d0
natural,Holistic Bodyworks,"835 East 4800 South, Murray",68.0,40.79,59,One 60-Minute Reiki Session,https://www.groupon.com/deals/holistic-bodyworks-6?deal_option=c3b889ef-da4a-4621-b90f-3c9e467a98e4
sightseeing,Idaho Falls Zoo,"2725 Carnival Way, Idaho Falls",5.0,4.5,90,One Single-Day Child General-Admission Ticket (Ages 3–12),https://www.groupon.com/deals/idaho-falls-park-zoo-1?deal_option=72177e9c-fb03-4985-bbf3-65f5d919c078
restaurants,Itto Sushi,"10555 South Redwood Road, South Jordan",20.0,12.0,60,"Sushi, Noodles, Rolls",https://www.groupon.com/deals/itto-sushi-south-jordan
restaurants,Itto Sushi,"856 Fort Union Boulevard, Midvale",20.0,12.5,62,Sushi and Japanese Food,https://www.groupon.com/deals/itto-sushi-5
restaurants,Itto Sushi,"547 East University Parkway, Orem",20.0,12.0,60,Sushi,https://www.groupon.com/deals/itto-sushi-4
restaurants,Itto Sushi Downtown,"12 Broadway, Salt Lake City",20.0,12.0,60,Japanese Cuisine,https://www.groupon.com/deals/itto-sushi-downtown
hair,KTR Action Sports Playground,"7220 Union Park Avenue, Midvale",70.0,53.0,75,Two 4-Hr Access Passes,https://www.groupon.com/deals/ktr-salt-lake-city-midvale?deal_option=73ea50b5-8f07-45e2-b6aa-797fcad30062
spas,KTR Action Sports Playground,"7220 Union Park Avenue, Midvale",70.0,53.0,75,Two 4-Hr Access Passes,https://www.groupon.com/deals/ktr-salt-lake-city-midvale?deal_option=73ea50b5-8f07-45e2-b6aa-797fcad30062
fun,KTR Action Sports Playground,"7220 Union Park Avenue, Midvale",70.0,53.0,75,Two 4-Hr Access Passes,https://www.groupon.com/deals/ktr-salt-lake-city-midvale?deal_option=73ea50b5-8f07-45e2-b6aa-797fcad30062
sports,KTR Action Sports Playground,"7220 Union Park Avenue, Midvale",70.0,53.0,75,Two 4-Hr Access Passes,https://www.groupon.com/deals/ktr-salt-lake-city-midvale?deal_option=73ea50b5-8f07-45e2-b6aa-797fcad30062
nail,Kabiri Professional Nail Services,"32 South Freedom Boulevard, Provo",50.0,42.5,85,Kabiri Gel Manicure,https://www.groupon.com/deals/kabiri-professional-nail-services-2?deal_option=2ec10e18-4db5-4fda-9b8d-6dafae47cf5c
kids,Kangaroo Zoo,"395 N Redwood Rd, North Salt Lake",17.0,10.0,58,All Day Pass with $5 Toward Arcade Games for One,https://www.groupon.com/deals/kangaroo-zoo-3?deal_option=fa8450da-2e2e-4e35-9649-1da162caa404
spas,Kangaroo Zoo,"395 N Redwood Rd, North Salt Lake",17.0,10.0,58,All Day Pass with $5 Toward Arcade Games for One,https://www.groupon.com/deals/kangaroo-zoo-3?deal_option=fa8450da-2e2e-4e35-9649-1da162caa404
fun,Kangaroo Zoo,"395 N Redwood Rd, North Salt Lake",17.0,10.0,58,All Day Pass with $5 Toward Arcade Games for One,https://www.groupon.com/deals/kangaroo-zoo-3?deal_option=fa8450da-2e2e-4e35-9649-1da162caa404
cafes,Krispy Kreme® Doughnut Corporation,"48 West 10600 South, Sandy",25.0,20.0,80,eGift Card to Krispy Kreme,https://www.groupon.com/deals/krispy-kreme-e-gift-card
spas,La Beauté Loft Spa & Salon,"1140 Brickyard Road, Salt Lake City",85.0,69.0,81,One 60-Minute Custom Massage with Aromatherapy and Warm Towels,https://www.groupon.com/deals/la-beaute-loft-spa-salon-9?deal_option=283fe29c-1b9d-4ad5-90b3-f98ca02b294f
hair,Labyrinth South Jordan,"11617 South Parkway Plaza Drive, South Jordan",23.0,20.0,86,Valid Any Day: One Two-Hour Reality Game Pass,https://www.groupon.com/deals/labyrinth-south-jordan?deal_option=69223a17-6b4b-417d-bf1c-60cec2c36cbf
spas,Labyrinth South Jordan,"11617 South Parkway Plaza Drive, South Jordan",23.0,20.0,86,Valid Any Day: One Two-Hour Reality Game Pass,https://www.groupon.com/deals/labyrinth-south-jordan?deal_option=69223a17-6b4b-417d-bf1c-60cec2c36cbf
blowouts,Labyrinth South Jordan,"11617 South Parkway Plaza Drive, South Jordan",23.0,20.0,86,Valid Any Day: One Two-Hour Reality Game Pass,https://www.groupon.com/deals/labyrinth-south-jordan?deal_option=69223a17-6b4b-417d-bf1c-60cec2c36cbf
kids,Labyrinth South Jordan,"11617 South Parkway Plaza Drive, South Jordan",23.0,20.0,86,Valid Any Day: One Two-Hour Reality Game Pass,https://www.groupon.com/deals/labyrinth-south-jordan?deal_option=69223a17-6b4b-417d-bf1c-60cec2c36cbf
sports,Labyrinth South Jordan,"11617 South Parkway Plaza Drive, South Jordan",23.0,20.0,86,Valid Any Day: One Two-Hour Reality Game Pass,https://www.groupon.com/deals/labyrinth-south-jordan?deal_option=69223a17-6b4b-417d-bf1c-60cec2c36cbf
weight,Laser Lipo of Utah,"12637 South 265 West STE 100B, Draper",665.0,89.0,13,Two Laser Lipo Treatments,https://www.groupon.com/deals/lipo-laser-at-laser-lipo-of-utah-1?deal_option=e8ef4886-7f77-4eb3-896a-50f92888d7c3
